doc_id,stock_code,company_name,year_range,year_list,valid_year_count,rank,term,tfidf_weight
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,4,城市服务,0.09339844850815647
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,5,两翼,0.09314916606008236
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,6,城市服务 业务,0.09209532764236697
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,7,房地产开发 业务,0.09206804902792907
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,8,房地产开发,0.09083734364629133
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,9,住房,0.09080001752959975
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,10,商业运营,0.08956776597921448
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,11,投资决策,0.08622757170380081
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,12,房企,0.08538330127895974
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,13,产品品质 控制,0.08448737074439498
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,14,成熟 经营,0.0836765004967809
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,15,继续 关注,0.08328828275606509
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,16,房地产,0.0830638731066756
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,17,多种类型,0.08258978653673861
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,18,租售,0.08254319219629508
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,19,业务 外包,0.08116396022527944
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,20,建设者,0.08083969071271495
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,1,新城,0.16615163307209846
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,2,汽车 销售,0.16565557079216736
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,3,租赁 管理,0.15758339939901517
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,4,盐城,0.15464255249841222
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,5,物业 租赁,0.14217731467729167
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,6,杀菌,0.13213918648392525
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,7,资深 行业,0.13005387836614804
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,8,房屋 租赁,0.11353196178696359
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,9,物业管理,0.11283800159550329
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,10,停车场,0.10894296842668573
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,11,经验 优质,0.10801240695238758
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,12,房屋,0.10578979437823374
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,13,管理 汽车,0.10381621317916699
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,14,成熟 经营,0.10381621317916699
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,15,交易商,0.10111095287884889
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,16,资源 互补,0.09854149974015904
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,17,投资 股权,0.09806332516034617
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,18,地理 优势,0.09635989003657723
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,19,物业,0.09504872363358428
000007_5Y,000007,全新好,2020-2024,"2020,2021,2022,2023,2024",5,20,金融 投资,0.09349717636613895
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,1,轨道交通 运营,0.14540066247631775
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,2,运营 维保,0.12789051397337856
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,3,车轮,0.11797984481421353
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,4,探伤,0.11304175088761428
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,5,钢轨,0.1073388724123709
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,6,检修,0.10733262025947025
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,7,国投,0.10507667975169199
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,8,机车,0.100434982131482
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,9,联锁,0.09888694226778717
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,10,车辆段,0.09483660495144876
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,11,工业 智能,0.0943313591894274
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,12,维保 服务,0.0941640411463825
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,13,地铁,0.09383263955486762
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,14,车载 电子,0.09369853819429148
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,15,物流 装备,0.09069043664722005
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,16,铁路 运营,0.0904307213433146
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,17,财经,0.09039379676672725
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,18,牵引 系统,0.08912216825182291
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,19,列控,0.08912216825182291
000008_5Y,000008,神州高铁,2020-2024,"2020,2021,2022,2023,2024",5,20,维保,0.08903220886329144
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,1,产业 涉及,0.09941086957808723
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,2,锂离子电池 负极材料,0.09743065552004908
000009_5Y,000009,中国宝安,2020-2024,"2020,2021,2022,2023,2024",5,3,生物农药,0.09360266835653083
