company_name,stock_code_norm,盈利能力指标_score_5y_mean,盈利能力指标_score_2024,盈利能力指标_score_change,盈利能力指标_score_volatility,资产使用效率_score_5y_mean,资产使用效率_score_2024,资产使用效率_score_change,资产使用效率_score_volatility,流动性指标_score_5y_mean,流动性指标_score_2024,流动性指标_score_change,流动性指标_score_volatility,现金创造能力指标_score_5y_mean,现金创造能力指标_score_2024,现金创造能力指标_score_change,现金创造能力指标_score_volatility,偿债能力_score_5y_mean,偿债能力_score_2024,偿债能力_score_change,偿债能力_score_volatility,股东收益指标_score_5y_mean,股东收益指标_score_2024,股东收益指标_score_change,股东收益指标_score_volatility,composite_score_5y_mean,composite_score_2024,composite_score_change,composite_score_volatility,盈利能力指标_score_trend_label,资产使用效率_score_trend_label,流动性指标_score_trend_label,现金创造能力指标_score_trend_label,偿债能力_score_trend_label,股东收益指标_score_trend_label,composite_score_trend_label
良信股份,2706.0,0.6044171312314098,0.5056872749099641,-0.2552851049749396,0.0976122017470487,0.718158153172326,0.6583783783783783,-0.040140578967593266,0.04453710041761519,0.513616780015429,0.395974358974359,-0.17377044403323533,0.09135640489554585,0.739763207629046,0.8107142857142857,-0.13990299823633146,0.18556077932878318,0.603208726316447,0.5833333333333334,0.01631662411571022,0.04640692548612132,0.4873806595331501,0.3751577888090368,-0.349351915801236,0.13818866696262883,0.6110907763163014,0.5548742366865596,-0.15702240298293757,0.05668073434018129,优势收窄,持续领先,其他,持续领先,其他,其他,优势收窄
良品铺子,603719.0,0.6186104071288784,0.2877940313299469,-0.4610580638968976,0.17519745463842049,0.6104010577880012,0.5953803043511395,-0.05032030274513988,0.022681023413737088,0.5455920181740659,0.4495033002216139,-0.11277596913206522,0.04840660631785724,0.4920094933945062,0.2800102481094544,-0.15108093275751117,0.19263115426913033,0.47894890543269586,0.2947197875354499,-0.2003666804876409,0.09512603663104816,0.6256030328614037,0.4186891262402391,-0.3212184217519994,0.12751027830908523,0.5618608191299252,0.3876827996313073,-0.21613672846187565,0.09221950495765466,优势收窄,优势收窄,其他,其他,其他,优势收窄,其他
艾为电子,688798.0,0.4032235567898743,0.6903539225613579,0.15066072017492282,0.231023877224077,0.6445614887112724,0.7588436794760653,0.08555597774388812,0.09490124331994151,0.2573278107930542,0.1919857944287798,0.13217131433667662,0.19660753212388307,0.6928505546248916,0.8271178427160146,,0.17461013390580035,0.4302230924726553,0.3978494623655917,0.1753367626210213,0.12128216738296939,0.6066463626552898,0.7187404815961203,,0.15788471855891864,0.48741071516442175,0.5974818638573216,0.22365484286850013,0.10190891642305305,波动较大,持续领先,持续落后,持续领先,其他,持续领先,改善追赶
艾力斯,688578.0,0.7110042743529447,0.9410186723320448,0.6560040362059576,0.2506835953338682,0.6055684701341161,0.8784938997611327,0.7086511704124803,0.2421882853914299,0.6880533585029674,0.5864063832824133,-0.2626878076625919,0.11215343560043452,0.6268350725284085,0.8692160902826587,0.5990366838691027,0.23321038498270358,0.634556240800223,0.6262626262626261,-0.031086345889311806,0.02387847639596145,0.6042029448327214,0.6612937106323229,0.2620105477231243,0.10384754129884169,0.6450367268585635,0.7604485637588665,0.321988047443127,0.11610813298981655,波动较大,波动较大,优势收窄,波动较大,持续领先,持续领先,持续领先
艾华集团,603989.0,0.5543970332927407,0.340813464235624,-0.3253874887177093,0.11115529386305661,0.6294479382677314,0.7514864123436608,0.17002911727577974,0.06453622841903651,0.3729203866146931,0.3488876008074187,-0.12793632172894248,0.059702940609625846,0.243421118652837,0.2359879930584869,-0.17042148446277672,0.08555920539782623,0.5375217372471566,0.5655389114909575,0.136672667229583,0.0856660093580835,0.47726631558897825,0.4188943279843137,-0.2107586320125856,0.07729854640329567,0.4691624216106895,0.4436014516534103,-0.08796702373610849,0.03542367644212599,其他,持续领先,持续落后,持续落后,其他,其他,其他
艾可蓝,300816.0,0.5720873670636907,0.6425254312251216,-0.2385639982912109,0.19782718559034337,0.5605933112614963,0.5935086902164587,0.12909674272947042,0.07097935245461058,0.5756322730736068,0.5147543100450847,-0.2776767518527301,0.1265604214156205,0.3127829232296611,0.7742934185558774,0.7187378630003219,0.24368037192243788,0.6259171636511862,0.6936938073619139,-0.07295645198038891,0.09825414792430458,0.6175691352083976,0.7052232369136411,0.15186813977130942,0.06111352465125422,0.544097028914673,0.6539998157196828,0.06841759056279517,0.07027054265514679,其他,其他,其他,波动较大,持续领先,持续领先,其他
艾布鲁,301259.0,0.5315518908310432,0.2689759216876248,-0.4443529127840044,0.2575685040233458,0.5924707989385654,0.3393439681277883,-0.4776206110128092,0.20399371802269015,0.36259491660252,0.4841790340955309,0.21117513532455284,0.07013125646173711,0.37599182038503104,0.5250071022112084,,0.21019755144533134,0.46839915349865874,0.2331751860395867,-0.10015814729374661,0.17828402301215204,0.4995168153816479,0.5338888951445699,,0.03989214467696193,0.4923809327986219,0.3974283512177182,-0.13672931021141638,0.09251946888680052,波动较大,波动较大,其他,波动较大,其他,其他,其他
艾德生物,300685.0,0.832248709254109,0.9521344255622266,0.22985352821421867,0.0997747972451143,0.5268730585732617,0.6345292796142495,0.19489934024565264,0.08499305250988556,0.741636110579008,0.7952127645879631,0.03198219993206186,0.046208948849014726,0.6664230304796324,0.821030925242517,0.19334275319950622,0.11032590618217489,0.6039931743262762,0.6021505376344085,-0.007331894215741874,0.010457071737953353,0.4381914374124207,0.541349446654443,0.07206382044831144,0.06328951604366338,0.6348942534374513,0.7244012298826346,0.11913495797066809,0.05581044118920553,持续领先,其他,持续领先,持续领先,持续领先,其他,持续领先
艾格拉斯,2619.0,0.0751328316225714,,,0.0,0.4450646622252669,,,0.0,0.9947888850778048,,,0.0,0.1182310865593237,,,0.0,0.6754385964912282,,,0.0,0.1325854542068192,,,0.0,0.4068735860305024,,,0.0,数据不足,数据不足,数据不足,数据不足,数据不足,数据不足,数据不足
艾森股份,688720.0,0.34555514933104886,0.2401370648321868,-0.2934325269319511,0.12146606855394934,0.5340043273928119,0.4158906882591093,-0.24048800741978932,0.08389205188857808,0.47619863619781516,0.4913905623519744,0.03412886851965502,0.2047739373827277,0.09579750204750201,0.125,,0.029202497952497998,0.7725559702898228,0.6111111111111112,-0.3462921606539624,0.16057104931014354,0.45528820915566703,0.4236163926714516,,0.03167181648421538,0.503459123214241,0.3845243032043056,-0.2666290100558018,0.09531510242709042,持续落后,其他,波动较大,持续落后,持续领先,其他,其他
