code,shortname,accper,typrep,总资产利润率ROA,权益资本利润率ROE,息税前利润EBIT,息税折旧摊销前收入EBITDA,投入资本利润率ROIC,营业利润率,销售利润率,EBITDA利润率,总资产盈利能力,应收账款周转率,应收账款周转天数,存货周转率,存货周转天数,应付账款周转率,营运资本周转率,固定资产周转率,总资产周转率,流动比率,速动比率,现金比率,营运资本,利息保障倍数,现金流利息保障倍数,资产负债率,长期负债权益比率,营运资本需求量比率,营运资本周转天数,销售创现率,利润创现率_净利润,利润创现率_息税前利润,总资产创现率,每股分红,总资产负债率,每股收益,每股净资产,市盈率,权益资产比,权益负债比,每股经营现金流,stock_code_norm,company_name,model_level1_code,model_level2_code,model_level3_code,industry_code
6,深振业A,2020,A,0.058497,0.115194,1231176424,1275551473,0.086954,0.370236,0.30765662,0.43463966,0.079766475,191.643876,1.909792,0.200992,1820.967999,2.436815,0.385544,66.575872,0.190138,2.832071,0.955156,0.450679,7611924109,8.633957,-1.174678,0.492185,0.439135,0.49316764,946.71423,-0.057076905,-0.18552147,-0.1360532,-0.010852485,0.193,0.492185,0.66881,5.805946,8.388033,0.5078153,1.031755,-0.12407862,6,深振业A,L1_011,L1_011_S01,L1_011_S01_S01,L1_011_S01_S01
6,深振业A,2021,A,0.023452,0.067628,947258039.2,992157386.4,0.045283,0.243595,0.17920594,0.32123515,0.040136293,163.368065,2.234219,0.108406,3366.972308,1.135202,0.299037,72.708213,0.130866,2.117493,0.373655,0.28281,10328376716,4.876391,-19.946404,0.65322,0.75439,0.43762389,1220.5847,-1.2545178,-7.0004253,-4.0904026,-0.16417359,0.121,0.65322,0.409994,6.062523,10.878202,0.34678033,0.530879,-2.8701324,6,深振业A,L1_011,L1_011_S01,L1_011_S01_S01,L1_011_S01_S01
6,深振业A,2022,A,0.016972,0.052901,933122332.4,981275402.8,0.037735,0.19786,0.12109857,0.26522294,0.035346806,123.417982,2.95743,0.134799,2707.735221,1.413325,0.328198,68.341655,0.140149,2.025056,0.493474,0.40709,11273118654,4.654995,11.550984,0.679176,0.818474,0.42702734,1112.1335,0.62583303,5.167964,2.4814169,0.087710164,0.094,0.679176,0.331884,6.273697,18.98252,0.32082438,0.472373,1.7151645,6,深振业A,L1_011,L1_011_S01,L1_011_S01_S01,L1_011_S01_S01
6,深振业A,2023,A,-0.03479,-0.12117,-342546511.2,-334362989.7,-0.045554,-0.189061,-0.32082734,-0.11896484,-0.013215953,66.896606,5.456181,0.100464,3633.14222,1.138242,0.304515,67.80986,0.108437,1.734989,0.378475,0.283988,9229771578,-1.802483,0.38288,0.712887,0.795478,0.35609826,1198.6273,0.025888808,-0.080693901,-0.21241838,0.002807311,,0.712887,-0.667942,5.512415,,0.28711292,0.402747,0.053898845,6,深振业A,L1_011,L1_011_S01,L1_011_S01_S01,L1_011_S01_S01
6,深振业A,2024,A,-0.10167,-0.307772,-1586258887,-1578593822,-0.1485,-0.281285,-0.28878185,-0.2602815,-0.09208075,132.389109,2.764578,0.517575,707.143892,3.885325,0.789645,98.828398,0.352064,2.010409,0.592334,0.351462,7680605119,-11.213406,7.881796,0.669658,0.691406,0.44585148,462.23303,0.18383771,-0.63659716,-0.7028904,0.064722672,,0.669658,-1.297373,4.215375,,0.33034155,0.493299,0.82590401,6,深振业A,L1_011,L1_011_S01,L1_011_S01_S01,L1_011_S01_S01
7,全新好,2019,A,0.041651,0.104458,41214251.39,46237013.93,0.04514,0.970715,0.52900112,1.1003352,0.077224582,,,97.470244,3.744733,2.309236,0.120133,0.699435,0.078736,9.372211,9.368977,1.047349,349786777.1,,,0.601261,1.311578,0.65540773,3038.2993,-0.75672883,-1.4304863,-0.7715385,-0.059581742,0,0.601261,0.064163,0.614246,148.060907,0.39873838,0.663171,-0.091784298,7,全新好,L1_017,L1_017_S01,L1_017_S01_S01,L1_017_S01_S01
7,全新好,2020,A,-0.337652,-1.814672,-121465229.4,-116460167.1,-0.739129,-2.674021,-2.7253196,-2.5796115,-0.33333486,,,8.812221,41.53323,2.189182,0.878249,0.976759,0.123894,1.259792,1.252593,0.257971,51404989.44,,,0.813932,1.456036,0.1410698,415.59967,-0.07440383,0.027300954,0.027654538,-0.009218222,,0.813932,-0.355142,0.195706,,0.18606763,0.228604,-0.009695716,7,全新好,L1_017,L1_017_S01,L1_017_S01_S01,L1_017_S01_S01
7,*ST 全新,2021,A,0.093396,0.353784,41901723.06,47034639.65,0.155387,0.298071,0.22623277,0.26372111,0.096991256,13.319084,27.404287,5.145629,70.933991,7.121593,1.760121,3.816694,0.412832,1.497989,1.366894,0.289618,101328214.1,,,0.736008,1.003889,0.23454766,207.3721,-0.27309272,-1.2071316,-1.1623881,-0.11274149,0,0.736008,0.116464,0.329194,52.291005,0.26399225,0.358681,-0.14058737,7,全新好,L1_017,L1_017_S01,L1_017_S01_S01,L1_017_S01_S01
7,全新好,2022,A,-0.017867,-0.061873,-7114011.01,223546.72,-0.032226,0.042475,-0.02865622,0.001012265,-0.020085528,12.962155,28.158898,5.422743,67.309109,8.006731,1.986076,4.762634,0.623509,1.866686,1.612656,1.275122,111193148.2,,,0.711224,1.208531,0.31394008,183.77948,0.71015227,-24.781786,-22.045036,0.44278622,,0.711224,-0.018266,0.295225,,0.2887753,0.406026,0.45266408,7,全新好,L1_017,L1_017_S01,L1_017_S01_S01,L1_017_S01_S01
7,*ST 全新,2023,A,0.091647,0.264424,38422276.93,44547827.38,0.11638,0.213006,0.16866322,0.20587017,0.096482731,12.327408,29.60882,5.712141,63.898983,6.988498,1.444863,4.879899,0.543375,2.159983,1.929798,1.495362,149763670.3,,,0.653408,0.949825,0.37607372,252.61911,0.88086069,5.2226005,4.9608631,0.47863764,0,0.653408,0.105345,0.398395,46.2289,0.34659162,0.530437,0.55017489,7,全新好,L1_017,L1_017_S01,L1_017_S01_S01,L1_017_S01_S01
